time,Delivered,Suppressed,Failed,Posts via Routes
Fri Jun 30 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jul 01 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jul 02 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jul 03 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue Jul 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed Jul 05 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu Jul 06 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jul 07 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jul 08 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jul 09 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jul 10 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue Jul 11 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed Jul 12 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu Jul 13 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jul 14 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jul 15 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jul 16 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jul 17 2023 20:00:00 GMT-0400 (Eastern Daylight Time),2,0,0,0
Tue Jul 18 2023 20:00:00 GMT-0400 (Eastern Daylight Time),305,4,4,0
Wed Jul 19 2023 20:00:00 GMT-0400 (Eastern Daylight Time),6,0,0,0
Thu Jul 20 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jul 21 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jul 22 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jul 23 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jul 24 2023 20:00:00 GMT-0400 (Eastern Daylight Time),2,0,0,0
Tue Jul 25 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed Jul 26 2023 20:00:00 GMT-0400 (Eastern Daylight Time),3,0,0,0
Thu Jul 27 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jul 28 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jul 29 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jul 30 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0